config_id,config_label,symbol,trades,won,lost,win_rate,profit_factor,net_pnl,max_dd_pct,sharpe,avg_win,avg_loss,htf,stagnation,exits_SL,exits_TP,exits_STAG,exits_SQOFF
A_previous_htf_stag,Previous (HTF+Stag),HDFCLIFE,26,12,14,46.2,1.49,2502,3.9,0.71,635,-366,N,N,14,12,0,0
A_previous_htf_stag,Previous (HTF+Stag),TATASTEEL,26,16,10,61.5,2.30,5000,4.4,1.07,553,-385,Y,Y,9,14,1,2
A_previous_htf_stag,Previous (HTF+Stag),TITAN,24,11,13,45.8,1.51,1944,4.6,0.62,521,-291,N,N,13,11,0,0
A_previous_htf_stag,Previous (HTF+Stag),M&M,20,12,8,60.0,2.24,3344,2.3,7.73,503,-336,Y,Y,6,10,3,1
A_previous_htf_stag,Previous (HTF+Stag),ADANIPORTS,38,17,21,44.7,1.37,2515,4.8,3.59,547,-323,N,Y,17,16,3,2
A_previous_htf_stag,Previous (HTF+Stag),ONGC,18,9,9,50.0,1.77,2257,3.0,0.57,576,-325,Y,N,9,9,0,0
A_previous_htf_stag,Previous (HTF+Stag),BAJAJFINSV,12,8,4,66.7,3.55,2180,2.0,1.60,379,-214,Y,Y,2,6,3,1
A_previous_htf_stag,Previous (HTF+Stag),HINDALCO,19,11,8,57.9,2.68,4019,1.9,2.35,583,-299,Y,Y,5,10,2,2
A_previous_htf_stag,Previous (HTF+Stag),SBILIFE,25,11,14,44.0,0.78,-963,5.0,-1.88,305,-309,Y,Y,12,8,3,2
B_vol_1.5x,+ Vol 1.5x only,HDFCLIFE,15,6,9,40.0,1.11,375,3.1,0.34,612,-366,N,N,9,6,0,0
B_vol_1.5x,+ Vol 1.5x only,TATASTEEL,19,10,9,52.6,1.56,1931,4.4,0.74,537,-382,Y,Y,8,9,1,1
B_vol_1.5x,+ Vol 1.5x only,TITAN,17,7,10,41.2,1.29,835,3.0,0.63,532,-289,N,N,10,7,0,0
B_vol_1.5x,+ Vol 1.5x only,M&M,9,7,2,77.8,4.65,2428,1.6,9.11,442,-333,Y,Y,1,5,3,0
B_vol_1.5x,+ Vol 1.5x only,ADANIPORTS,23,11,12,47.8,1.98,3116,2.2,13.92,572,-264,N,Y,8,10,3,2
B_vol_1.5x,+ Vol 1.5x only,ONGC,13,5,8,38.5,1.23,571,3.1,0.19,610,-310,Y,N,8,5,0,0
B_vol_1.5x,+ Vol 1.5x only,BAJAJFINSV,10,6,4,60.0,2.89,1606,2.0,1.90,409,-213,Y,Y,2,5,3,0
B_vol_1.5x,+ Vol 1.5x only,HINDALCO,13,7,6,53.8,2.13,2088,1.5,6.40,561,-307,Y,Y,4,6,2,1
B_vol_1.5x,+ Vol 1.5x only,SBILIFE,14,6,8,42.9,0.60,-1099,3.9,-1.32,277,-345,Y,Y,7,4,2,1
C_vwap_ext,+ VWAP ext only,HDFCLIFE,16,10,6,62.5,2.72,4302,2.9,1.79,680,-416,N,N,6,10,0,0
C_vwap_ext,+ VWAP ext only,TATASTEEL,18,11,7,61.1,2.14,3348,3.6,0.95,572,-421,Y,Y,6,10,1,1
C_vwap_ext,+ VWAP ext only,TITAN,13,8,5,61.5,2.90,2787,1.6,2.47,532,-293,N,N,5,8,0,0
C_vwap_ext,+ VWAP ext only,M&M,9,5,4,55.6,1.12,219,3.3,0.67,409,-457,Y,Y,4,3,2,0
C_vwap_ext,+ VWAP ext only,ADANIPORTS,24,12,12,50.0,1.72,2742,3.3,8.02,548,-319,N,Y,9,12,3,0
C_vwap_ext,+ VWAP ext only,ONGC,12,5,7,41.7,1.17,402,2.9,0.16,549,-335,Y,N,7,5,0,0
C_vwap_ext,+ VWAP ext only,BAJAJFINSV,9,6,3,66.7,4.54,1593,1.3,2.19,341,-150,Y,Y,1,4,3,1
C_vwap_ext,+ VWAP ext only,HINDALCO,7,4,3,57.1,2.48,1596,1.1,0.60,669,-360,Y,Y,2,4,1,0
C_vwap_ext,+ VWAP ext only,SBILIFE,13,5,8,38.5,0.61,-1140,3.8,-0.71,363,-370,Y,Y,8,4,0,1
D_rsi_tight,+ RSI tight only,HDFCLIFE,32,12,20,37.5,1.03,222,6.3,0.07,613,-357,N,N,20,12,0,0
D_rsi_tight,+ RSI tight only,TATASTEEL,29,16,13,55.2,1.67,3554,3.7,1.34,555,-409,Y,Y,12,14,1,2
D_rsi_tight,+ RSI tight only,TITAN,29,13,16,44.8,1.27,1308,5.2,0.34,478,-307,N,N,16,12,0,1
D_rsi_tight,+ RSI tight only,M&M,26,14,12,53.8,1.80,3143,2.5,21.02,504,-326,Y,Y,9,12,3,2
D_rsi_tight,+ RSI tight only,ADANIPORTS,41,19,22,46.3,1.40,2941,4.9,5.29,545,-337,N,Y,17,18,4,2
D_rsi_tight,+ RSI tight only,ONGC,22,10,12,45.5,1.19,789,3.6,0.22,495,-347,Y,N,12,9,0,1
D_rsi_tight,+ RSI tight only,BAJAJFINSV,18,8,10,44.4,0.91,-291,3.5,-0.42,367,-322,Y,Y,8,6,3,1
D_rsi_tight,+ RSI tight only,HINDALCO,21,12,9,57.1,2.52,4327,1.9,1.52,598,-316,Y,Y,6,11,2,2
D_rsi_tight,+ RSI tight only,SBILIFE,28,13,15,46.4,0.95,-218,4.5,-0.25,344,-313,Y,Y,13,9,3,2
E_vol_vwap,Vol 1.5x + VWAP ext,HDFCLIFE,10,6,4,60.0,2.10,1961,2.9,150.45,624,-446,N,N,4,6,0,0
E_vol_vwap,Vol 1.5x + VWAP ext,TATASTEEL,15,9,6,60.0,1.96,2381,3.6,1.52,540,-413,Y,Y,5,8,1,1
E_vol_vwap,Vol 1.5x + VWAP ext,TITAN,9,5,4,55.6,2.42,1647,1.7,2.23,561,-289,N,N,4,5,0,0
E_vol_vwap,Vol 1.5x + VWAP ext,M&M,4,3,1,75.0,1.70,364,1.6,2.02,295,-522,Y,Y,1,1,2,0
E_vol_vwap,Vol 1.5x + VWAP ext,ADANIPORTS,13,7,6,53.8,2.20,2233,2.5,4.44,584,-310,N,Y,4,7,2,0
E_vol_vwap,Vol 1.5x + VWAP ext,ONGC,8,2,6,25.0,0.64,-683,3.2,-0.31,613,-318,Y,N,6,2,0,0
E_vol_vwap,Vol 1.5x + VWAP ext,BAJAJFINSV,8,5,3,62.5,3.35,1052,1.3,5.89,300,-150,Y,Y,1,3,3,1
E_vol_vwap,Vol 1.5x + VWAP ext,HINDALCO,4,1,3,25.0,0.68,-339,1.9,-0.53,718,-352,Y,Y,2,1,1,0
E_vol_vwap,Vol 1.5x + VWAP ext,SBILIFE,9,3,6,33.3,0.39,-1331,3.5,-0.74,288,-366,Y,Y,6,2,0,1
F_all_three,All three (current live),HDFCLIFE,13,6,7,46.2,1.32,900,2.9,1.82,615,-398,N,N,7,6,0,0
F_all_three,All three (current live),TATASTEEL,16,9,7,56.2,1.66,1923,3.6,1.74,540,-419,Y,Y,6,8,1,1
F_all_three,All three (current live),TITAN,12,7,5,58.3,2.35,2148,1.7,1.69,535,-319,N,N,5,7,0,0
F_all_three,All three (current live),M&M,5,3,2,60.0,0.91,-90,2.5,-0.40,295,-488,Y,Y,2,1,2,0
F_all_three,All three (current live),ADANIPORTS,18,10,8,55.6,2.03,2815,3.2,15.02,555,-342,N,Y,5,10,3,0
F_all_three,All three (current live),ONGC,10,2,8,20.0,0.45,-1485,4.2,-0.69,606,-337,Y,N,8,2,0,0
F_all_three,All three (current live),BAJAJFINSV,9,5,4,55.6,1.70,614,1.3,0.97,299,-220,Y,Y,2,3,3,1
F_all_three,All three (current live),HINDALCO,4,1,3,25.0,0.68,-339,1.9,-0.53,718,-352,Y,Y,2,1,1,0
F_all_three,All three (current live),SBILIFE,10,3,7,30.0,0.34,-1673,4.2,-0.78,287,-362,Y,Y,7,2,0,1
